#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
defeat,4,1,3,2
hopeless,4,1,2,3
misery,4,1,3,2
treasure,4,3,1,2
bliss,4,2,1,3
memories,4,2,1,3
pleasant,4,3,1,2
nostalgia,4,2,1,3
magical,4,1,2,3
endearing,4,1,2,3
chilly,4,3,1,2
candles,4,1,2,3
scream,4,3,1,2
incidental,4,2,3,1
heaven,4,1,3,2
departure,4,1,3,2
remarkable,4,1,2,3
bun,4,3,2,1
exceptional,4,2,1,3
ache,4,2,3,1
vocal,4,3,1,2
gamble,4,2,3,1
waiting,4,2,3,1
imagine,4,1,2,3
attractive,4,1,2,3
feel,4,3,1,2
pretend,4,3,2,1
band,4,2,1,3
brave,4,2,3,1
drizzle,4,3,1,2
recognize,4,1,2,3
glowing,4,1,3,2
numb,4,1,3,2
weak,4,3,2,1
black,4,2,3,1
church,4,1,3,2
bright,4,1,3,2
satisfied,4,1,3,2
cookies,4,3,2,1
lifeless,4,1,3,2
distraught,4,1,3,2
shape,4,3,2,1
night,4,3,1,2
innocent,4,3,2,1
cake,4,3,2,1
exclaim,4,3,1,2
song,4,2,1,3
kindergarten,4,3,2,1
ride,4,3,2,1
shout,4,3,1,2
unexpected,4,2,3,1
couple,4,1,2,3
chirp,4,1,3,2
forget,4,2,3,1
god,4,1,3,2
motion,4,3,2,1
wink,4,1,2,3
faith,4,1,3,2
childish,4,3,2,1
savor,4,3,2,1
growing,4,3,2,1
midnight,4,2,3,1
climb,4,3,2,1
bittersweet,4,2,1,3
picture,4,1,2,3
woe,4,1,3,2
bless,4,1,3,2
explore,4,3,1,2
presence,4,1,2,3
distracted,4,3,2,1
rope,4,1,3,2
enjoy,4,1,3,2
roar,4,3,1,2
rest,4,3,1,2
envy,4,1,2,3
discover,4,3,1,2
charming,4,1,2,3
sick,4,2,3,1
walking,4,1,3,2
shrouded,4,2,3,1
leaves,4,3,2,1
nervous,4,1,3,2
expect,4,2,3,1
image,4,1,2,3
compliment,4,2,1,3
rejection,4,1,2,3
worried,4,1,3,2
footsteps,4,1,3,2
stay,4,1,2,3
paralyzed,4,1,3,2
outside,4,1,3,2
sunshine,4,3,1,2
unable,4,3,2,1
different,4,2,1,3
lighten,4,1,3,2
repeat,4,2,3,1
listen,4,2,1,3
loneliness,4,2,1,3
wife,4,2,1,3
breeze,4,1,3,2
breakup,4,1,2,3
lively,4,1,3,2
children,4,2,1,3
pie,4,3,2,1
travel,4,3,1,2
dear,4,1,2,3
delight,4,2,1,3
unclear,4,2,3,1
cuddle,4,1,2,3
failure,4,1,3,2
lyrics,4,2,1,3
stumped,4,2,3,1
reminisce,4,2,1,3
caress,4,1,2,3
shriek,4,3,1,2
dessert,4,3,2,1
accident,4,2,3,1
tremble,4,1,2,3
husband,4,2,1,3
hell,4,1,3,2
clueless,4,2,3,1
never,4,1,3,2
beautiful,4,1,2,3
win,4,2,3,1
sleep,4,3,1,2
forever,4,2,1,3
cinnamon,4,3,2,1
misstep,4,1,2,3
fortune,4,2,3,1
darken,4,2,3,1
remember,4,2,3,1
care,4,2,3,1
shine,4,1,3,2
hug,4,1,2,3
thunder,4,3,1,2
bet,4,2,3,1
encourage,4,2,3,1
doubt,4,3,2,1
heartfelt,4,2,1,3
worst,4,1,2,3
companion,4,1,2,3
light,4,1,3,2
nap,4,3,1,2
believe,4,2,3,1
goodbye,4,1,3,2
boredom,4,3,1,2
indifferent,4,2,3,1
revisit,4,2,1,3
lose,4,2,3,1
unintended,4,2,3,1
pitch,4,2,3,1
rays,4,1,3,2
unique,4,2,1,3
mistake,4,1,2,3
daze,4,3,2,1
unfortunate,4,2,3,1
exclusive,4,2,1,3
regret,4,1,2,3
lightning,4,3,1,2
life-changing,4,2,3,1
rain,4,3,1,2
tired,4,2,3,1
instrument,4,2,1,3
reflect,4,1,3,2
lottery,4,2,3,1
thoughts,4,2,1,3
crickets,4,3,1,2
serendipitous,4,2,3,1
clutch,4,1,2,3
hold,4,1,2,3

#Natsuki's words
cute,2,4,1,3
fluffy,3,4,2,1
pure,2,4,3,1
candy,3,4,2,1
shopping,2,4,1,3
puppy,2,4,1,3
kitty,2,4,1,3
clouds,3,4,2,1
lipstick,1,4,2,3
parfait,2,4,1,3
strawberry,3,4,2,1
pink,2,4,1,3
chocolate,2,4,1,3
heartbeat,1,4,2,3
kiss,1,4,2,3
melody,2,4,1,3
ribbon,3,4,1,2
jumpy,2,4,1,3
doki-doki,2,4,1,3
kawaii,2,4,1,3
skirt,3,4,1,2
cheeks,3,4,1,2
email,2,4,1,3
sticky,3,4,2,1
bouncy,2,4,1,3
shiny,3,4,2,1
nibble,3,4,2,1
fantasy,1,4,2,3
sugar,3,4,2,1
giggle,3,4,1,2
marshmallow,3,4,2,1
hop,3,4,1,2
skipping,3,4,1,2
peace,3,4,1,2
spinning,3,4,1,2
twirl,3,4,1,2
lollipop,3,4,2,1
poof,3,4,2,1
bubbles,3,4,1,2
whisper,3,4,1,2
summer,3,4,1,2
waterfall,2,4,3,1
swimsuit,3,4,1,2
vanilla,3,4,2,1
headphones,3,4,1,2
games,3,4,1,2
socks,3,4,1,2
hair,2,4,1,3
playground,3,4,1,2
nightgown,1,4,3,2
blanket,1,4,3,2
milk,3,4,2,1
pout,3,4,2,1
anger,3,4,1,2
papa,3,4,1,2
valentine,2,4,1,3
mouse,2,4,3,1
whistle,3,4,1,2
boop,3,4,1,2
bunny,2,4,1,3
anime,2,4,1,3
jump,3,4,1,2
reason,1,4,3,2
comprehend,1,4,2,3
rough,3,4,2,1
revel,1,4,2,3
braid,2,4,1,3
trigger,1,4,3,2
bully,2,4,3,1
disgust,3,4,2,1
bam,3,4,2,1
mad,3,4,2,1
rabbit,2,4,3,1
pigtails,2,4,1,3
seesaw,3,4,1,2
foreign,1,4,2,3
toothpaste,1,4,2,3
manga,2,4,1,3
hate,2,4,3,1
wristband,1,4,2,3
rumor,2,4,3,1
gasp,1,4,2,3
tray,1,4,2,3
ponytail,2,4,1,3
wrapping,2,4,1,3
refusal,1,4,3,2
sea,1,4,3,2
resolve,1,4,3,2
explain,1,4,2,3
beach,1,4,3,2
burp,3,4,2,1
joke,2,4,3,1
momentary,1,4,2,3
ostracize,1,4,3,2
exclude,1,4,3,2
wheat,2,4,3,1
smooth,3,4,2,1
shower,1,4,2,3
thoughtful,1,4,2,3
bird,2,4,3,1
competent,1,4,2,3
whiskers,2,4,1,3
boom,3,4,2,1
break,3,4,2,1
gift,2,4,1,3
illogical,1,4,3,2
immature,1,4,3,2
doll,1,4,2,3
detective,3,4,2,1
umbrella,1,4,2,3
sugoi,2,4,1,3
gesture,3,4,1,2
ships,1,4,3,2
waves,1,4,3,2
disturb,2,4,3,1
mull,1,4,3,2
bottles,1,4,3,2
sleepover,1,4,3,2
amiss,2,4,3,1
touch,1,4,2,3
substantial,3,4,2,1
interrupt,1,4,3,2
reciprocate,1,4,3,2
catcall,2,4,3,1
language,1,4,2,3
fluent,1,4,2,3
misplaced,1,4,3,2
explanation,3,4,2,1
betray,2,4,3,1
suspicious,3,4,2,1
fox,2,4,3,1
retarded,1,4,3,2
extract,1,4,3,2
absence,1,4,3,2
shore,1,4,3,2
gibberish,1,4,2,3
shampoo,1,4,2,3
smirk,3,4,1,2
playful,2,4,3,1
baka,2,4,1,3
corn,2,4,3,1
mime,3,4,1,2
jive,2,4,3,1
forest,2,4,3,1
anecdote,2,4,3,1
internet,2,4,1,3
whiny,3,4,2,1
clench,3,4,1,2
suitcase,1,4,2,3
organization,1,4,2,3
heckle,2,4,3,1
beam,3,4,1,2
beat,3,4,1,2
surprise,2,4,1,3
mayonnaise,3,4,2,1
conflict,1,4,3,2
cupcakes,3,4,2,1
hygiene,1,4,2,3
reasonable,1,4,2,3
outrageous,1,4,3,2
toast,3,4,2,1
eggs,3,4,2,1
alien,1,4,2,3
swingset,3,4,1,2
emoji,2,4,1,3
insult,2,4,3,1
flowery,1,4,3,2
trap,3,4,1,2
smart,1,4,2,3
field,2,4,3,1
deduce,3,4,2,1
online,2,4,1,3
smash,3,4,2,1
rolling,1,4,3,2
woof,3,4,2,1
slap,2,4,3,1
violent,3,4,2,1
message,2,4,1,3
mute,3,4,1,2
wrapped,1,4,3,2
blackmail,2,4,3,1
pillow,1,4,3,2
horse,2,4,3,1
running,3,4,1,2
belt,3,4,1,2
sheets,1,4,3,2
toothbrush,1,4,2,3
abuse,2,4,3,1
wrongdoing,2,4,3,1
necklace,1,4,2,3
bark,2,4,1,3
own,1,4,3,2
text,2,4,1,3
slander,2,4,3,1
chuckle,3,4,1,2
hairdresser,2,4,1,3
soap,1,4,2,3
silent,3,4,1,2
accuse,2,4,3,1
dog,2,4,3,1
cat,2,4,3,1
impossible,1,4,3,2
stylist,2,4,1,3
hungry,3,4,1,2
quiet,3,4,1,2
mishandle,2,4,3,1
conditioner,1,4,2,3
slumber,1,4,3,2
denounce,1,4,3,2
stickers,2,4,1,3
breakfast,3,4,2,1
adorn,1,4,2,3
bacon,3,4,2,1
purse,1,4,2,3
pet,2,4,1,3
fashion,3,4,1,2
bother,1,4,3,2
schoolbag,1,4,2,3
comprise,3,4,2,1
articulate,1,4,2,3
accessories,1,4,2,3
jewelry,1,4,2,3
blasphemy,1,4,3,2
belong,1,4,3,2
haircut,2,4,1,3
wham,3,4,2,1
vicious,2,4,3,1
annoying,1,4,3,2
profanity,1,4,3,2
network,2,4,1,3
pony,2,4,1,3
cards,2,4,1,3
carry,1,4,2,3
reliable,1,4,2,3
starve,3,4,1,2
tease,2,4,3,1
desu,2,4,1,3
contain,1,4,2,3
bite,2,4,3,1
ignore,2,4,3,1
contradiction,1,4,3,2
erratic,2,4,3,1
bread,3,4,2,1
clash,2,4,3,1
clean,2,4,3,1
misguided,2,4,3,1
meow,3,4,2,1
frustration,1,4,3,2
ladder,3,4,1,2
confirm,3,4,2,1
swallow,3,4,1,2
taunt,2,4,3,1

#Yuri's words
determination,2,1,4,3
suicide,3,1,4,2
imagination,3,1,4,2
secretive,3,2,4,1
vitality,1,3,4,2
existence,2,1,4,3
effulgent,3,2,4,1
crimson,3,2,4,1
whirlwind,3,2,4,1
afterimage,3,2,4,1
vertigo,1,3,4,2
disoriented,3,1,4,2
essence,2,1,4,3
ambient,2,1,4,3
starscape,2,1,4,3
disarray,3,2,4,1
contamination,3,2,4,1
intellectual,2,1,4,3
analysis,2,1,4,3
entropy,1,2,4,3
vivacious,3,2,4,1
uncanny,3,2,4,1
incongruent,2,1,4,3
wrath,3,2,4,1
heavensent,2,1,4,3
massacre,3,2,4,1
philosophy,2,1,4,3
fickle,3,1,4,2
tenacious,3,1,4,2
aura,2,1,4,3
unstable,3,1,4,2
inferno,3,2,4,1
incapable,3,2,4,1
destiny,2,1,4,3
infallible,2,1,4,3
agonizing,3,1,4,2
variance,3,1,4,2
uncontrollable,3,1,4,2
extreme,2,1,4,3
flee,3,2,4,1
dream,2,1,4,3
disaster,3,1,4,2
vivid,3,1,4,2
vibrant,1,3,4,2
question,1,2,4,3
fester,3,2,4,1
judgment,2,1,4,3
cage,1,2,4,3
explode,2,3,4,1
pleasure,1,3,4,2
lust,1,3,4,2
sensation,1,3,4,2
climax,1,3,4,2
electricity,1,2,4,3
disown,3,1,4,2
despise,3,2,4,1
infinite,2,1,4,3
eternity,2,1,4,3
time,2,1,4,3
universe,2,1,4,3
unending,2,1,4,3
raindrops,3,1,4,2
covet,1,3,4,2
unrestrained,3,1,4,2
landscape,2,1,4,3
portrait,2,1,4,3
journey,3,1,4,2
meager,3,1,4,2
anxiety,3,2,4,1
frightening,3,1,4,2
horror,3,1,4,2
melancholy,3,1,4,2
insight,2,1,4,3
atone,3,1,4,2
breathe,1,3,4,2
captive,3,1,4,2
desire,1,3,4,2
graveyard,3,2,4,1
orion,1,3,4,2
rumble,2,3,4,1
medal,2,3,4,1
wavering,3,1,4,2
crumble,1,3,4,2
atmosphere,1,2,4,3
nuclear,1,2,4,3
hercules,1,3,4,2
proliferate,2,3,4,1
scarce,3,1,4,2
enigma,1,3,4,2
invasive,2,3,4,1
simulacrum,3,2,4,1
chasm,1,2,4,3
disband,1,3,4,2
spontaneous,1,3,4,2
illumination,3,2,4,1
inquire,1,2,4,3
interrogate,1,2,4,3
presuppose,1,2,4,3
structured,1,2,4,3
logical,1,2,4,3
fundamental,2,3,4,1
aroma,1,2,4,3
blade,2,3,4,1
primal,3,2,4,1
established,2,1,4,3
smell,1,2,4,3
indication,2,3,4,1
spirit,2,1,4,3
cutting,2,3,4,1
clandestine,1,3,4,2
conjure,3,1,4,2
gravity,2,1,4,3
redeem,3,1,4,2
aphrodite,1,3,4,2
illusion,2,1,4,3
fluctuate,2,1,4,3
lantern,3,2,4,1
nerve,3,2,4,1
arcane,1,3,4,2
unwanted,2,3,4,1
principle,1,2,4,3
receptacle,1,2,4,3
prize,2,3,4,1
handle,2,3,4,1
intimate,1,3,4,2
diverge,1,3,4,2
void,1,2,4,3
incandescent,3,2,4,1
query,1,2,4,3
material,1,2,4,3
relish,1,3,4,2
brilliant,2,1,4,3
edge,2,3,4,1
scintillate,3,2,4,1
disappear,1,3,4,2
connect,2,3,4,1
unknowable,1,3,4,2
arouse,1,3,4,2
natural,2,3,4,1
hurricane,3,1,4,2
diploma,2,3,4,1
apologize,3,1,4,2
condemn,3,2,4,1
knife,2,3,4,1
unkempt,3,2,4,1
observation,2,3,4,1
preserved,2,3,4,1
uninhabited,2,3,4,1
abyss,1,2,4,3
antagonize,3,2,4,1
exacerbate,3,1,4,2
awaken,1,3,4,2
resent,3,2,4,1
coherent,1,2,4,3
creep,2,1,4,3
insinuation,2,3,4,1
achieve,2,3,4,1
password,1,3,4,2
enclosed,1,3,4,2
terror,3,1,4,2
quantum,1,2,4,3
filth,3,2,4,1
depict,3,1,4,2
oedipus,1,3,4,2
intercourse,1,3,4,2
address,2,3,4,1
reverberate,2,3,4,1
outlet,1,2,4,3
magnetic,2,1,4,3
trophy,2,3,4,1
vortex,3,2,4,1
petrified,3,2,4,1
portray,3,1,4,2
detonate,2,3,4,1
inescapable,3,1,4,2
attract,2,1,4,3
arranged,1,2,4,3
symbolism,2,3,4,1
intricate,2,1,4,3
effuse,1,2,4,3
improbable,1,2,4,3
untouched,2,3,4,1
gargantuan,1,2,4,3
immobile,3,1,4,2
storm,3,1,4,2
blast,2,3,4,1
avid,1,3,4,2
criminal,2,3,4,1
appliance,1,2,4,3
cascade,1,2,4,3
misinterpret,1,3,4,2
distort,1,3,4,2
prehistoric,2,3,4,1
cohesive,1,2,4,3
predicate,1,2,4,3
compulsive,2,1,4,3
entice,1,3,4,2
ghost,2,1,4,3
compare,2,1,4,3
collapse,2,1,4,3
converge,2,1,4,3
force,2,3,4,1
disingenuous,3,1,4,2
corruption,2,3,4,1
conform,2,1,4,3
sharp,2,3,4,1
olympic,2,3,4,1
impromptu,1,3,4,2
private,1,3,4,2
apt,1,2,4,3
dionysus,1,3,4,2
glisten,3,2,4,1
voltage,1,2,4,3
implication,2,3,4,1
signify,2,3,4,1
sword,2,3,4,1
amend,3,1,4,2
outcast,3,1,4,2
thundercrack,3,1,4,2
cavity,1,2,4,3
singularity,1,3,4,2
jasmine,1,2,4,3
current,1,2,4,3
destruction,1,3,4,2
perverted,2,3,4,1
salvation,3,2,4,1
luminary,3,2,4,1
hollow,1,2,4,3
demand,1,2,4,3
mutable,3,1,4,2
combust,2,3,4,1
resist,1,2,4,3
achilles,1,3,4,2
limbo,3,2,4,1
group,2,1,4,3
adamant,2,1,4,3
incense,1,2,4,3
instinct,3,2,4,1
pulsation,1,3,4,2
compromise,3,1,4,2
resound,2,3,4,1
smolder,1,2,4,3
infantile,3,2,4,1
somber,3,1,4,2
appropriate,1,2,4,3
traumatize,3,1,4,2
wretched,3,2,4,1
purgatory,3,2,4,1
sisyphus,1,3,4,2
loathe,3,2,4,1
spiral,3,2,4,1
triumphant,2,3,4,1

#Monika's words
continental,3,2,1,4
viola,3,1,2,4
begrudge,3,1,2,4
future,3,1,2,4
confidence,3,2,1,4
ardor,3,2,1,4
omniscience,3,1,2,4
longing,3,2,1,4
reality,3,1,2,4
provide,3,2,1,4
outgoing,3,2,1,4
support,3,2,1,4
idol,3,1,2,4
violin,3,1,2,4
separate,3,2,1,4
path,3,2,1,4
generous,3,1,2,4
inadequate,3,2,1,4
space,3,1,2,4
piano,3,1,2,4
finite,3,1,2,4
crossroads,3,2,1,4
stress,3,2,1,4
reputation,3,1,2,4
route,3,2,1,4
benevolent,3,1,2,4
empowered,3,1,2,4
fate,3,1,2,4
gregarious,3,2,1,4
soul,3,1,2,4
jealousy,3,2,1,4
motivation,3,2,1,4
choice,3,2,1,4
gentle,3,1,2,4
duty,3,1,2,4
oboe,3,1,2,4
distance,3,2,1,4
model,3,1,2,4
improve,3,2,1,4
patience,3,1,2,4
pressure,3,1,2,4
extrovert,3,2,1,4
repent,3,1,2,4
responsibility,3,2,1,4
despair,3,2,1,4
social,3,2,1,4
volition,3,2,1,4
amiable,3,2,1,4
productive,3,2,1,4
forsake,3,1,2,4
intentions,3,1,2,4
polite,3,1,2,4
freedom,3,2,1,4
trumpet,3,1,2,4
abandon,3,1,2,4
advice,3,2,1,4
revelation,3,1,2,4
knowledge,3,2,1,4
undo,3,1,2,4
forego,3,1,2,4
interesting,3,2,1,4
perfectionist,3,2,1,4
popular,3,1,2,4
invitation,3,2,1,4
helpful,3,2,1,4
flute,3,1,2,4
inseparable,3,2,1,4
desist,3,1,2,4
facade,3,1,2,4
existential,3,1,2,4
despicable,3,2,1,4
resource,3,2,1,4
irrational,3,2,1,4
inferior,3,2,1,4
festival,3,2,1,4
cello,3,1,2,4
struggle,3,2,1,4
visit,3,2,1,4
leadership,3,1,2,4
president,3,1,2,4
perfect,3,1,2,4
strength,3,2,1,4
club,3,1,2,4
authority,3,1,2,4
convince,1,3,2,4
notebook,1,3,2,4
introduce,2,3,1,4
escapade,2,3,1,4
applause,2,3,1,4
delete,1,3,2,4
unparalleled,1,3,2,4
unlike,1,3,2,4
diligent,2,3,1,4
judicious,1,3,2,4
handwrite,1,3,2,4
justified,1,3,2,4
opinion,1,3,2,4
truth,1,3,2,4
compile,1,3,2,4
apple,2,3,1,4
prestige,2,3,1,4
identity,1,3,2,4
football,2,3,1,4
athletic,2,3,1,4
write,1,3,2,4
solipsism,2,3,1,4
binary,1,3,2,4
persevere,2,3,1,4
evidence,1,3,2,4
tennis,2,3,1,4
success,2,3,1,4
persistence,2,3,1,4
artistic,2,3,1,4
soccer,2,3,1,4
individual,1,3,2,4
presentation,2,3,1,4
adroitness,2,3,1,4
tactful,1,3,2,4
vegetables,2,3,1,4
garner,2,3,1,4
talented,2,3,1,4
crossover,2,3,1,4
coffee,2,3,1,4
simulation,2,3,1,4
intonation,2,3,1,4
line,1,3,2,4
continuity,2,3,1,4
conclude,2,3,1,4
pencil,1,3,2,4
oppose,1,3,2,4
ink,1,3,2,4
swimming,2,3,1,4
restaurant,2,3,1,4
charisma,2,3,1,4
industrious,2,3,1,4
sports,2,3,1,4
reset,2,3,1,4
debate,1,3,2,4
etch,1,3,2,4
restitution,1,3,2,4
position,1,3,2,4
basketball,2,3,1,4
calligraphy,1,3,2,4
utensil,1,3,2,4
prosecute,1,3,2,4
brush,1,3,2,4
keyboard,1,3,2,4
argument,1,3,2,4
distinct,1,3,2,4
paper,1,3,2,4
character,2,3,1,4
endeavor,2,3,1,4
justice,1,3,2,4
precedent,1,3,2,4
meal,2,3,1,4
stationery,1,3,2,4
spacing,1,3,2,4
squid,2,3,1,4
defined,1,3,2,4
plead,1,3,2,4
pen,1,3,2,4
programming,1,3,2,4
value,2,3,1,4
diction,2,3,1,4
vying,2,3,1,4
watermelon,2,3,1,4
code,1,3,2,4
transcend,2,3,1,4
book,1,2,3,4
sentience,2,1,3,4
sapphire,2,1,3,4
poem,1,2,3,4
periphery,2,1,3,4
mentality,2,1,3,4
distinguished,1,2,3,4
muse,1,2,3,4
backing,1,2,3,4
artificial,2,1,3,4
independent,2,1,3,4
python,2,1,3,4
solitude,2,1,3,4
abstract,2,1,3,4
lethargy,2,1,3,4
parallel,1,2,3,4
orchestra,1,2,3,4
powerless,2,1,3,4
diamond,2,1,3,4
textbook,1,2,3,4
sustenance,2,1,3,4
imagery,2,1,3,4
clairvoyant,2,1,3,4
formal,1,2,3,4
visualize,2,1,3,4
grandiose,1,2,3,4
self-aware,2,1,3,4
linguistic,1,2,3,4
uniform,1,2,3,4
symphony,1,2,3,4
personality,1,2,3,4
cordial,1,2,3,4
mindful,2,1,3,4
ambivalent,2,1,3,4
ubuntu,2,1,3,4
meditate,2,1,3,4
disconnect,2,1,3,4
study,1,2,3,4
faculty,1,2,3,4
significance,1,2,3,4
harmony,1,2,3,4
epiphany,2,1,3,4
emerald,2,1,3,4
perpetuate,2,1,3,4
esoteric,1,2,3,4
uncover,1,2,3,4
chord,1,2,3,4
phlegmatic,1,2,3,4
poetry,1,2,3,4
alienation,2,1,3,4
structure,2,1,3,4
compose,1,2,3,4
ruby,2,1,3,4
creativity,2,1,3,4
assignment,1,2,3,4
choleric,1,2,3,4
pastime,2,1,3,4
algorithm,2,1,3,4
silver,2,1,3,4
reclusive,2,1,3,4
emotion,2,1,3,4
perform,1,2,3,4
school,1,2,3,4
engagement,2,1,3,4
words,1,2,3,4
novel,1,2,3,4
narration,2,1,3,4
syntax,2,1,3,4
apocryphal,1,2,3,4
pompous,1,2,3,4
subconscious,2,1,3,4
metaphor,1,2,3,4
intelligence,1,2,3,4
literature,1,2,3,4
grade,1,2,3,4
constrain,2,1,3,4
seclusion,2,1,3,4
pristine,1,2,3,4
sanguine,1,2,3,4
psyche,1,2,3,4
symbol,1,2,3,4
dissociate,2,1,3,4
trait,1,2,3,4
golden,2,1,3,4
