#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
shopping,2,4,3,1
puppy,2,4,3,1
kitty,2,4,3,1
clouds,2,4,3,1
lipstick,1,4,3,2
parfait,2,4,3,1
strawberry,2,4,3,1
pink,2,4,3,1
chocolate,2,4,3,1
heartbeat,1,4,3,2
kiss,1,4,3,2
melody,2,4,3,1
ribbon,2,4,3,1
jumpy,2,4,3,1
doki-doki,2,4,3,1
kawaii,2,4,3,1
skirt,2,4,3,1
cheeks,2,4,3,1
email,2,4,3,1
sticky,2,4,3,1
bouncy,2,4,3,1
shiny,2,4,3,1
nibble,2,4,3,1
fantasy,1,4,3,2
sugar,2,4,3,1
giggle,2,4,3,1
marshmallow,2,4,3,1
hop,2,4,3,1
skipping,2,4,3,1
peace,2,4,3,1
spinning,2,4,3,1
twirl,2,4,3,1
lollipop,2,4,3,1
poof,2,4,3,1
bubbles,2,4,3,1
whisper,2,4,3,1
summer,2,4,3,1
waterfall,1,4,3,2
swimsuit,2,4,3,1
vanilla,2,4,3,1
headphones,2,4,3,1
games,2,4,3,1
socks,2,4,3,1
hair,2,4,3,1
playground,2,4,3,1
nightgown,1,4,3,2
blanket,1,4,3,2
milk,2,4,3,1
pout,2,4,3,1
anger,2,4,3,1
papa,2,4,3,1
valentine,2,4,3,1
mouse,1,4,3,2
whistle,2,4,3,1
boop,2,4,3,1
bunny,2,4,3,1
anime,2,4,3,1
jump,2,4,3,1

#Yuri's words
determination,1,1,4,3
suicide,2,1,4,3
imagination,2,1,4,3
secretive,2,1,4,3
vitality,1,1,4,3
existence,2,1,4,3
effulgent,1,1,4,3
crimson,1,1,4,3
whirlwind,1,1,4,3
afterimage,1,1,4,3
vertigo,1,1,4,3
disoriented,1,1,4,3
essence,2,1,4,3
ambient,2,1,4,3
starscape,2,1,4,3
disarray,1,1,4,3
contamination,1,1,4,3
intellectual,1,1,4,3
analysis,1,1,4,3
entropy,1,1,4,3
vivacious,1,1,4,3
uncanny,2,1,4,3
incongruent,1,1,4,3
wrath,2,1,4,3
heavensent,2,1,4,3
massacre,2,1,4,3
philosophy,1,1,4,3
fickle,1,1,4,3
tenacious,1,1,4,3
aura,2,1,4,3
unstable,1,1,4,3
inferno,2,1,4,3
incapable,2,1,4,3
destiny,2,1,4,3
infallible,1,1,4,3
agonizing,2,1,4,3
variance,1,1,4,3
uncontrollable,2,1,4,3
extreme,1,1,4,3
flee,2,1,4,3
dream,2,2,4,3
disaster,2,1,4,3
vivid,2,1,4,3
vibrant,1,2,4,3
question,1,2,4,3
fester,2,1,4,3
judgment,1,1,4,3
cage,1,2,4,3
explode,1,2,4,3
pleasure,1,2,4,3
lust,1,2,4,3
sensation,1,2,4,3
climax,1,2,4,3
electricity,1,2,4,3
disown,1,1,4,3
despise,2,1,4,3
infinite,2,1,4,3
eternity,2,1,4,3
time,2,1,4,3
universe,2,1,4,3
unending,2,1,4,3
raindrops,2,1,4,3
covet,1,1,4,3
unrestrained,1,1,4,3
landscape,2,1,4,3
portrait,2,1,4,3
journey,2,1,4,3
meager,1,1,4,3
anxiety,2,1,4,3
frightening,2,1,4,3
horror,2,1,4,3
melancholy,2,1,4,3
insight,2,1,4,3
atone,2,1,4,3
breathe,1,2,4,3
captive,2,1,4,3
desire,1,2,4,3
graveyard,2,1,4,3

#Monika's words
orchestra,1,1,2,4
holding,2,3,1,4
midnight,2,2,3,4
gentle,1,2,2,4
patience,1,1,3,4
vying,1,3,1,4
endeavor,3,2,2,4
finite,2,1,2,4
adroitness,1,2,3,4
tactful,3,1,1,4
effuse,3,2,1,4
restitution,1,2,1,4
escapade,2,1,2,4
begrudge,2,3,1,4
formal,1,1,3,4
literature,2,2,3,4
enigma,3,2,2,4
volition,1,2,3,4
endearing,3,2,3,4
clandestine,3,2,3,4
muse,2,1,3,4
serendipitous,1,2,2,4
cordial,3,2,1,4
aroma,2,2,3,4
avidity,3,3,1,4
ardor,3,3,1,4
faculty,1,1,2,4
clairvoyance,2,1,3,4
etch,2,3,2,4
repent,3,1,2,4
arcane,3,2,3,4
esoteric,3,2,3,4
simulacrum,2,1,3,4
mutable,2,1,3,4
garner,1,1,3,4
transcend,2,1,2,4
perpetuate,1,2,1,4
periphery,3,2,3,4
ubuntu,3,2,1,4
receptacle,1,3,3,4
delve,3,2,1,4
distort,3,1,3,4
pompous,2,1,3,4
continuity,1,3,2,4
judicious,1,3,2,4
sentience,1,1,1,4
reality,2,3,2,4
simulation,3,1,2,4
future,1,2,1,4
study,1,3,3,4
coffee,2,2,1,4
emerald,1,1,1,4
hygiene,1,2,3,4
persistence,1,3,3,4
rain,3,1,2,4
alienation,3,2,3,4
extrovert,3,2,1,4
fashion,3,3,2,4
linguistic,2,2,3,4
creativity,2,3,3,4
confidence,2,1,3,4
cuddle,2,3,3,4
soul,1,2,1,4
truth,1,3,2,4
value,1,2,2,4
illumination,1,3,2,4
abyss,3,1,3,4
apocryphal,3,2,3,4
forego,1,1,1,4
sustenance,2,2,3,4
converge,1,3,2,4
sift,1,2,2,4
seclusion,3,1,3,4
